reference,api_group,capability,reference_support,openglesscope_0_7_0,openglesscope_path,ui_txt_html_database,status
OpenGLESScope additional query,Core/extension additional,GL_LAYER_PROVOKING_VERTEX,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_MAX_CLIP_DISTANCES_EXT,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_MAX_COLOR_ATTACHMENTS_EXT,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_MAX_COMBINED_CLIP_AND_CULL_DISTANCES_EXT,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_MAX_CULL_DISTANCES_EXT,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_MAX_DRAW_BUFFERS_EXT,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_MAX_DRAW_BUFFERS_NV,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_MAX_DUAL_SOURCE_DRAW_BUFFERS_EXT,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_MAX_MULTIVIEW_BUFFERS_EXT,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_MAX_SAMPLES_EXT,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_MAX_SAMPLES_IMG,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_MAX_SAMPLES_NV,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_MAX_TEXTURE_BUFFER_SIZE_EXT,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_MAX_TEXTURE_MAX_ANISOTROPY_EXT,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_MAX_VIEWS_OVR,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_MULTISAMPLE_LINE_WIDTH_GRANULARITY,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_MULTISAMPLE_LINE_WIDTH_RANGE,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_NUM_EXTENSIONS,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_PRIMITIVE_RESTART_FOR_PATCHES_SUPPORTED,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_SHADER_COMPILER,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_SHADER_STORAGE_BUFFER_OFFSET_ALIGNMENT,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_SUBPIXEL_BITS,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_TEXTURE_BUFFER_OFFSET_ALIGNMENT,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_TEXTURE_BUFFER_OFFSET_ALIGNMENT_EXT,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Core/extension additional,GL_UNIFORM_BUFFER_OFFSET_ALIGNMENT,not in public capability floor,covered,direct core query or exact-extension-gated query,yes,OpenGLESScope extra
OpenGLESScope additional query,Extension additional,GL_SUBGROUP_SIZE_KHR,not in public capability floor,covered,exact-extension-gated direct GL query,yes,OpenGLESScope extra
OpenGLESScope additional query,Extension additional,GL_SUBGROUP_SUPPORTED_STAGES_KHR,not in public capability floor,covered,exact-extension-gated direct GL query,yes,OpenGLESScope extra
OpenGLESScope additional query,Extension additional,GL_SUBGROUP_SUPPORTED_FEATURES_KHR,not in public capability floor,covered,exact-extension-gated direct GL query,yes,OpenGLESScope extra
OpenGLESScope additional query,Extension additional,GL_SUBGROUP_QUAD_ALL_STAGES_KHR,not in public capability floor,covered,exact-extension-gated direct GL query,yes,OpenGLESScope extra
OpenGLESScope additional query,Extension additional,GL_MAX_WINDOW_RECTANGLES_EXT,not in public capability floor,covered,exact-extension-gated direct GL query,yes,OpenGLESScope extra
OpenGLESScope additional query,Extension additional,GL_MAX_VIEWPORTS_OES,not in public capability floor,covered,exact-extension-gated direct GL query,yes,OpenGLESScope extra
OpenGLESScope additional query,Extension additional,GL_VIEWPORT_SUBPIXEL_BITS_OES,not in public capability floor,covered,exact-extension-gated direct GL query,yes,OpenGLESScope extra
OpenGLESScope additional query,Extension additional,GL_VIEWPORT_BOUNDS_RANGE_OES,not in public capability floor,covered,exact-extension-gated direct GL query,yes,OpenGLESScope extra
OpenGLESScope additional query,Extension additional,GL_VIEWPORT_INDEX_PROVOKING_VERTEX_OES,not in public capability floor,covered,exact-extension-gated direct GL query,yes,OpenGLESScope extra
OpenGLESScope additional query,Extension additional,GL_MAX_SHADER_PIXEL_LOCAL_STORAGE_FAST_SIZE_EXT,not in public capability floor,covered,exact-extension-gated direct GL query,yes,OpenGLESScope extra
OpenGLESScope additional query,Extension additional,GL_MAX_SHADER_PIXEL_LOCAL_STORAGE_SIZE_EXT,not in public capability floor,covered,exact-extension-gated direct GL query,yes,OpenGLESScope extra
OpenGLESScope additional query,Extension additional,GL_MAX_SHADER_COMBINED_LOCAL_STORAGE_FAST_SIZE_EXT,not in public capability floor,covered,exact-extension-gated direct GL query,yes,OpenGLESScope extra
OpenGLESScope additional query,Extension additional,GL_MAX_SHADER_COMBINED_LOCAL_STORAGE_SIZE_EXT,not in public capability floor,covered,exact-extension-gated direct GL query,yes,OpenGLESScope extra
OpenGLESScope additional query,Extension additional,GL_MIN_SAMPLE_SHADING_VALUE_OES,not in public capability floor,covered,exact-extension-gated direct GL query,yes,OpenGLESScope extra
OpenGLESScope additional query,Extension additional,GL_MAX_SPARSE_TEXTURE_SIZE_EXT,not in public capability floor,covered,exact-extension-gated direct GL query,yes,OpenGLESScope extra
OpenGLESScope additional query,Extension additional,GL_MAX_SPARSE_3D_TEXTURE_SIZE_EXT,not in public capability floor,covered,exact-extension-gated direct GL query,yes,OpenGLESScope extra
OpenGLESScope additional query,Extension additional,GL_MAX_SPARSE_ARRAY_TEXTURE_LAYERS_EXT,not in public capability floor,covered,exact-extension-gated direct GL query,yes,OpenGLESScope extra
OpenGLESScope additional query,Extension additional,GL_SPARSE_TEXTURE_FULL_ARRAY_CUBE_MIPMAPS_EXT,not in public capability floor,covered,exact-extension-gated direct GL query,yes,OpenGLESScope extra
